,Idade,Classe,Sexo,Sobreviveu,Família,Prioritário
195,58.0,1,feminino,sobrevivente,0,Prioritário
196,0.0,3,masculino,morto,0,Não Prioritário
197,42.0,3,masculino,morto,1,Não Prioritário
198,0.0,3,feminino,sobrevivente,0,Prioritário
199,24.0,2,feminino,morto,0,Prioritário
200,28.0,3,masculino,morto,0,Não Prioritário
201,0.0,3,masculino,morto,10,Não Prioritário
202,34.0,3,masculino,morto,0,Não Prioritário
203,45.5,3,masculino,morto,0,Não Prioritário
204,18.0,3,masculino,sobrevivente,0,Não Prioritário
205,2.0,3,feminino,morto,1,Prioritário
206,32.0,3,masculino,morto,1,Não Prioritário
207,26.0,3,masculino,sobrevivente,0,Não Prioritário
208,16.0,3,feminino,sobrevivente,0,Prioritário
209,40.0,1,masculino,sobrevivente,0,Não Prioritário
210,24.0,3,masculino,morto,0,Não Prioritário
211,35.0,2,feminino,sobrevivente,0,Prioritário
212,22.0,3,masculino,morto,0,Não Prioritário
213,30.0,2,masculino,morto,0,Não Prioritário
214,0.0,3,masculino,morto,1,Não Prioritário
215,31.0,1,feminino,sobrevivente,1,Prioritário
216,27.0,3,feminino,sobrevivente,0,Prioritário
217,42.0,2,masculino,morto,1,Não Prioritário
218,32.0,1,feminino,sobrevivente,0,Prioritário
219,30.0,2,masculino,morto,0,Não Prioritário
220,16.0,3,masculino,sobrevivente,0,Não Prioritário
221,27.0,2,masculino,morto,0,Não Prioritário
222,51.0,3,masculino,morto,0,Não Prioritário
223,0.0,3,masculino,morto,0,Não Prioritário
224,38.0,1,masculino,sobrevivente,1,Não Prioritário
225,22.0,3,masculino,morto,0,Não Prioritário
226,19.0,2,masculino,sobrevivente,0,Não Prioritário
227,20.5,3,masculino,morto,0,Não Prioritário
228,18.0,2,masculino,morto,0,Não Prioritário
229,0.0,3,feminino,morto,4,Prioritário
230,35.0,1,feminino,sobrevivente,1,Prioritário
231,29.0,3,masculino,morto,0,Não Prioritário
232,59.0,2,masculino,morto,0,Não Prioritário
233,5.0,3,feminino,sobrevivente,6,Prioritário
234,24.0,2,masculino,morto,0,Não Prioritário
235,0.0,3,feminino,morto,0,Prioritário
236,44.0,2,masculino,morto,1,Não Prioritário
237,8.0,2,feminino,sobrevivente,2,Prioritário
238,19.0,2,masculino,morto,0,Não Prioritário
239,33.0,2,masculino,morto,0,Não Prioritário
240,0.0,3,feminino,morto,1,Prioritário
241,0.0,3,feminino,sobrevivente,1,Prioritário
242,29.0,2,masculino,morto,0,Não Prioritário
243,22.0,3,masculino,morto,0,Não Prioritário
244,30.0,3,masculino,morto,0,Não Prioritário
245,44.0,1,masculino,morto,2,Não Prioritário
246,25.0,3,feminino,morto,0,Prioritário
247,24.0,2,feminino,sobrevivente,2,Prioritário
248,37.0,1,masculino,sobrevivente,2,Não Prioritário
249,54.0,2,masculino,morto,1,Não Prioritário
250,0.0,3,masculino,morto,0,Não Prioritário
251,29.0,3,feminino,morto,2,Prioritário
252,62.0,1,masculino,morto,0,Não Prioritário
253,30.0,3,masculino,morto,1,Não Prioritário
254,41.0,3,feminino,morto,2,Prioritário
255,29.0,3,feminino,sobrevivente,2,Prioritário
256,0.0,1,feminino,sobrevivente,0,Prioritário
257,30.0,1,feminino,sobrevivente,0,Prioritário
258,35.0,1,feminino,sobrevivente,0,Prioritário
259,50.0,2,feminino,sobrevivente,1,Prioritário
260,0.0,3,masculino,morto,0,Não Prioritário
261,3.0,3,masculino,sobrevivente,6,Prioritário
262,52.0,1,masculino,morto,2,Não Prioritário
263,40.0,1,masculino,morto,0,Não Prioritário
264,0.0,3,feminino,morto,0,Prioritário
265,36.0,2,masculino,morto,0,Não Prioritário
266,16.0,3,masculino,morto,5,Não Prioritário
267,25.0,3,masculino,sobrevivente,1,Não Prioritário
268,58.0,1,feminino,sobrevivente,1,Prioritário
269,35.0,1,feminino,sobrevivente,0,Prioritário
270,0.0,1,masculino,morto,0,Não Prioritário
271,25.0,3,masculino,sobrevivente,0,Não Prioritário
272,41.0,2,feminino,sobrevivente,1,Prioritário
273,37.0,1,masculino,morto,1,Não Prioritário
274,0.0,3,feminino,sobrevivente,0,Prioritário
275,63.0,1,feminino,sobrevivente,1,Prioritário
276,45.0,3,feminino,morto,0,Prioritário
277,0.0,2,masculino,morto,0,Não Prioritário
278,7.0,3,masculino,morto,5,Prioritário
279,35.0,3,feminino,sobrevivente,2,Prioritário
280,65.0,3,masculino,morto,0,Não Prioritário
281,28.0,3,masculino,morto,0,Não Prioritário
282,16.0,3,masculino,morto,0,Não Prioritário
283,19.0,3,masculino,sobrevivente,0,Não Prioritário
284,0.0,1,masculino,morto,0,Não Prioritário
285,33.0,3,masculino,morto,0,Não Prioritário
286,30.0,3,masculino,sobrevivente,0,Não Prioritário
287,22.0,3,masculino,morto,0,Não Prioritário
288,42.0,2,masculino,sobrevivente,0,Não Prioritário
289,22.0,3,feminino,sobrevivente,0,Prioritário
290,26.0,1,feminino,sobrevivente,0,Prioritário
291,19.0,1,feminino,sobrevivente,1,Prioritário
292,36.0,2,masculino,morto,0,Não Prioritário
293,24.0,3,feminino,morto,0,Prioritário
294,24.0,3,masculino,morto,0,Não Prioritário
295,0.0,1,masculino,morto,0,Não Prioritário
296,23.5,3,masculino,morto,0,Não Prioritário
297,2.0,1,feminino,morto,3,Prioritário
298,0.0,1,masculino,sobrevivente,0,Não Prioritário
299,50.0,1,feminino,sobrevivente,1,Prioritário
300,0.0,3,feminino,sobrevivente,0,Prioritário
301,0.0,3,masculino,sobrevivente,2,Não Prioritário
302,19.0,3,masculino,morto,0,Não Prioritário
303,0.0,2,feminino,sobrevivente,0,Prioritário
304,0.0,3,masculino,morto,0,Não Prioritário
305,0.92,1,masculino,sobrevivente,3,Prioritário
306,0.0,1,feminino,sobrevivente,0,Prioritário
307,17.0,1,feminino,sobrevivente,1,Prioritário
308,30.0,2,masculino,morto,1,Não Prioritário
309,30.0,1,feminino,sobrevivente,0,Prioritário
310,24.0,1,feminino,sobrevivente,0,Prioritário
311,18.0,1,feminino,sobrevivente,4,Prioritário
312,26.0,2,feminino,morto,2,Prioritário
313,28.0,3,masculino,morto,0,Não Prioritário
314,43.0,2,masculino,morto,2,Não Prioritário
315,26.0,3,feminino,sobrevivente,0,Prioritário
316,24.0,2,feminino,sobrevivente,1,Prioritário
317,54.0,2,masculino,morto,0,Não Prioritário
318,31.0,1,feminino,sobrevivente,2,Prioritário
319,40.0,1,feminino,sobrevivente,2,Prioritário
320,22.0,3,masculino,morto,0,Não Prioritário
321,27.0,3,masculino,morto,0,Não Prioritário
322,30.0,2,feminino,sobrevivente,0,Prioritário
323,22.0,2,feminino,sobrevivente,2,Prioritário
324,0.0,3,masculino,morto,10,Não Prioritário
325,36.0,1,feminino,sobrevivente,0,Prioritário
326,61.0,3,masculino,morto,0,Não Prioritário
327,36.0,2,feminino,sobrevivente,0,Prioritário
328,31.0,3,feminino,sobrevivente,2,Prioritário
329,16.0,1,feminino,sobrevivente,1,Prioritário
330,0.0,3,feminino,sobrevivente,2,Prioritário
331,45.5,1,masculino,morto,0,Não Prioritário
332,38.0,1,masculino,morto,1,Não Prioritário
333,16.0,3,masculino,morto,2,Não Prioritário
334,0.0,1,feminino,sobrevivente,1,Prioritário
335,0.0,3,masculino,morto,0,Não Prioritário
336,29.0,1,masculino,morto,1,Não Prioritário
337,41.0,1,feminino,sobrevivente,0,Prioritário
338,45.0,3,masculino,sobrevivente,0,Não Prioritário
339,45.0,1,masculino,morto,0,Não Prioritário
340,2.0,2,masculino,sobrevivente,2,Prioritário
341,24.0,1,feminino,sobrevivente,5,Prioritário
342,28.0,2,masculino,morto,0,Não Prioritário
343,25.0,2,masculino,morto,0,Não Prioritário
344,36.0,2,masculino,morto,0,Não Prioritário
345,24.0,2,feminino,sobrevivente,0,Prioritário
346,40.0,2,feminino,sobrevivente,0,Prioritário
347,0.0,3,feminino,sobrevivente,1,Prioritário
348,3.0,3,masculino,sobrevivente,2,Prioritário
349,42.0,3,masculino,morto,0,Não Prioritário
350,23.0,3,masculino,morto,0,Não Prioritário
351,0.0,1,masculino,morto,0,Não Prioritário
352,15.0,3,masculino,morto,2,Prioritário
353,25.0,3,masculino,morto,1,Não Prioritário
354,0.0,3,masculino,morto,0,Não Prioritário
355,28.0,3,masculino,morto,0,Não Prioritário
356,22.0,1,feminino,sobrevivente,1,Prioritário
357,38.0,2,feminino,morto,0,Prioritário
358,0.0,3,feminino,sobrevivente,0,Prioritário
359,0.0,3,feminino,sobrevivente,0,Prioritário
360,40.0,3,masculino,morto,5,Não Prioritário
361,29.0,2,masculino,morto,1,Não Prioritário
362,45.0,3,feminino,morto,1,Prioritário
363,35.0,3,masculino,morto,0,Não Prioritário
364,0.0,3,masculino,morto,1,Não Prioritário
365,30.0,3,masculino,morto,0,Não Prioritário
366,60.0,1,feminino,sobrevivente,1,Prioritário
367,0.0,3,feminino,sobrevivente,0,Prioritário
368,0.0,3,feminino,sobrevivente,0,Prioritário
369,24.0,1,feminino,sobrevivente,0,Prioritário
370,25.0,1,masculino,sobrevivente,1,Não Prioritário
371,18.0,3,masculino,morto,1,Não Prioritário
372,19.0,3,masculino,morto,0,Não Prioritário
373,22.0,1,masculino,morto,0,Não Prioritário
374,3.0,3,feminino,morto,4,Prioritário
375,0.0,1,feminino,sobrevivente,1,Prioritário
376,22.0,3,feminino,sobrevivente,0,Prioritário
377,27.0,1,masculino,morto,2,Não Prioritário
378,20.0,3,masculino,morto,0,Não Prioritário
379,19.0,3,masculino,morto,0,Não Prioritário
380,42.0,1,feminino,sobrevivente,0,Prioritário
381,1.0,3,feminino,sobrevivente,2,Prioritário
382,32.0,3,masculino,morto,0,Não Prioritário
383,35.0,1,feminino,sobrevivente,1,Prioritário
384,0.0,3,masculino,morto,0,Não Prioritário
385,18.0,2,masculino,morto,0,Não Prioritário
386,1.0,3,masculino,morto,7,Prioritário
387,36.0,2,feminino,sobrevivente,0,Prioritário
388,0.0,3,masculino,morto,0,Não Prioritário
389,17.0,2,feminino,sobrevivente,0,Prioritário
390,36.0,1,masculino,sobrevivente,3,Não Prioritário
391,21.0,3,masculino,sobrevivente,0,Não Prioritário
392,28.0,3,masculino,morto,2,Não Prioritário
393,23.0,1,feminino,sobrevivente,1,Prioritário
394,24.0,3,feminino,sobrevivente,2,Prioritário
395,22.0,3,masculino,morto,0,Não Prioritário
396,31.0,3,feminino,morto,0,Prioritário
397,46.0,2,masculino,morto,0,Não Prioritário
398,23.0,2,masculino,morto,0,Não Prioritário
399,28.0,2,feminino,sobrevivente,0,Prioritário
400,39.0,3,masculino,sobrevivente,0,Não Prioritário
401,26.0,3,masculino,morto,0,Não Prioritário
402,21.0,3,feminino,morto,1,Prioritário
403,28.0,3,masculino,morto,1,Não Prioritário
404,20.0,3,feminino,morto,0,Prioritário
405,34.0,2,masculino,morto,1,Não Prioritário
406,51.0,3,masculino,morto,0,Não Prioritário
407,3.0,2,masculino,sobrevivente,2,Prioritário
408,21.0,3,masculino,morto,0,Não Prioritário
409,0.0,3,feminino,morto,4,Prioritário
410,0.0,3,masculino,morto,0,Não Prioritário
411,0.0,3,masculino,morto,0,Não Prioritário
412,33.0,1,feminino,sobrevivente,1,Prioritário
413,0.0,2,masculino,morto,0,Não Prioritário
414,44.0,3,masculino,sobrevivente,0,Não Prioritário
415,0.0,3,feminino,morto,0,Prioritário
416,34.0,2,feminino,sobrevivente,2,Prioritário
417,18.0,2,feminino,sobrevivente,2,Prioritário
418,30.0,2,masculino,morto,0,Não Prioritário
419,10.0,3,feminino,morto,2,Prioritário
420,0.0,3,masculino,morto,0,Não Prioritário
421,21.0,3,masculino,morto,0,Não Prioritário
422,29.0,3,masculino,morto,0,Não Prioritário
423,28.0,3,feminino,morto,2,Prioritário
424,18.0,3,masculino,morto,2,Não Prioritário
425,0.0,3,masculino,morto,0,Não Prioritário
426,28.0,2,feminino,sobrevivente,1,Prioritário
427,19.0,2,feminino,sobrevivente,0,Prioritário
428,0.0,3,masculino,morto,0,Não Prioritário
429,32.0,3,masculino,sobrevivente,0,Não Prioritário
430,28.0,1,masculino,sobrevivente,0,Não Prioritário
431,0.0,3,feminino,sobrevivente,1,Prioritário
432,42.0,2,feminino,sobrevivente,1,Prioritário
433,17.0,3,masculino,morto,0,Não Prioritário
434,50.0,1,masculino,morto,1,Não Prioritário
435,14.0,1,feminino,sobrevivente,3,Prioritário
436,21.0,3,feminino,morto,4,Prioritário
437,24.0,2,feminino,sobrevivente,5,Prioritário
438,64.0,1,masculino,morto,5,Não Prioritário
439,31.0,2,masculino,morto,0,Não Prioritário
440,45.0,2,feminino,sobrevivente,2,Prioritário
441,20.0,3,masculino,morto,0,Não Prioritário
442,25.0,3,masculino,morto,1,Não Prioritário
443,28.0,2,feminino,sobrevivente,0,Prioritário
444,0.0,3,masculino,sobrevivente,0,Não Prioritário
445,4.0,1,masculino,sobrevivente,2,Prioritário
446,13.0,2,feminino,sobrevivente,1,Prioritário
447,34.0,1,masculino,sobrevivente,0,Não Prioritário
448,5.0,3,feminino,sobrevivente,3,Prioritário
449,52.0,1,masculino,sobrevivente,0,Não Prioritário
450,36.0,2,masculino,morto,3,Não Prioritário
451,0.0,3,masculino,morto,1,Não Prioritário
452,30.0,1,masculino,morto,0,Não Prioritário
453,49.0,1,masculino,sobrevivente,1,Não Prioritário
454,0.0,3,masculino,morto,0,Não Prioritário
455,29.0,3,masculino,sobrevivente,0,Não Prioritário
456,65.0,1,masculino,morto,0,Não Prioritário
457,0.0,1,feminino,sobrevivente,1,Prioritário
458,50.0,2,feminino,sobrevivente,0,Prioritário
459,0.0,3,masculino,morto,0,Não Prioritário
460,48.0,1,masculino,sobrevivente,0,Não Prioritário
461,34.0,3,masculino,morto,0,Não Prioritário
462,47.0,1,masculino,morto,0,Não Prioritário
463,48.0,2,masculino,morto,0,Não Prioritário
464,0.0,3,masculino,morto,0,Não Prioritário
465,38.0,3,masculino,morto,0,Não Prioritário
466,0.0,2,masculino,morto,0,Não Prioritário
467,56.0,1,masculino,morto,0,Não Prioritário
468,0.0,3,masculino,morto,0,Não Prioritário
469,0.75,3,feminino,sobrevivente,3,Prioritário
470,0.0,3,masculino,morto,0,Não Prioritário
471,38.0,3,masculino,morto,0,Não Prioritário
472,33.0,2,feminino,sobrevivente,3,Prioritário
473,23.0,2,feminino,sobrevivente,0,Prioritário
474,22.0,3,feminino,morto,0,Prioritário
475,0.0,1,masculino,morto,0,Não Prioritário
476,34.0,2,masculino,morto,1,Não Prioritário
477,29.0,3,masculino,morto,1,Não Prioritário
478,22.0,3,masculino,morto,0,Não Prioritário
479,2.0,3,feminino,sobrevivente,1,Prioritário
480,9.0,3,masculino,morto,7,Prioritário
481,0.0,2,masculino,morto,0,Não Prioritário
482,50.0,3,masculino,morto,0,Não Prioritário
483,63.0,3,feminino,sobrevivente,0,Prioritário
484,25.0,1,masculino,sobrevivente,1,Não Prioritário
485,0.0,3,feminino,morto,4,Prioritário
486,35.0,1,feminino,sobrevivente,1,Prioritário
487,58.0,1,masculino,morto,0,Não Prioritário
488,30.0,3,masculino,morto,0,Não Prioritário
489,9.0,3,masculino,sobrevivente,2,Prioritário
490,0.0,3,masculino,morto,1,Não Prioritário
491,21.0,3,masculino,morto,0,Não Prioritário
492,55.0,1,masculino,morto,0,Não Prioritário
493,71.0,1,masculino,morto,0,Não Prioritário
494,21.0,3,masculino,morto,0,Não Prioritário
495,0.0,3,masculino,morto,0,Não Prioritário
496,54.0,1,feminino,sobrevivente,1,Prioritário
497,0.0,3,masculino,morto,0,Não Prioritário
498,25.0,1,feminino,morto,3,Prioritário
499,24.0,3,masculino,morto,0,Não Prioritário
500,17.0,3,masculino,morto,0,Não Prioritário
501,21.0,3,feminino,morto,0,Prioritário
502,0.0,3,feminino,morto,0,Prioritário
503,37.0,3,feminino,morto,0,Prioritário
504,16.0,1,feminino,sobrevivente,0,Prioritário
505,18.0,1,masculino,morto,1,Não Prioritário
506,33.0,2,feminino,sobrevivente,2,Prioritário
507,0.0,1,masculino,sobrevivente,0,Não Prioritário
508,28.0,3,masculino,morto,0,Não Prioritário
509,26.0,3,masculino,sobrevivente,0,Não Prioritário
510,29.0,3,masculino,sobrevivente,0,Não Prioritário
511,0.0,3,masculino,morto,0,Não Prioritário
512,36.0,1,masculino,sobrevivente,0,Não Prioritário
513,54.0,1,feminino,sobrevivente,1,Prioritário
514,24.0,3,masculino,morto,0,Não Prioritário
515,47.0,1,masculino,morto,0,Não Prioritário
516,34.0,2,feminino,sobrevivente,0,Prioritário
517,0.0,3,masculino,morto,0,Não Prioritário
518,36.0,2,feminino,sobrevivente,1,Prioritário
519,32.0,3,masculino,morto,0,Não Prioritário
520,30.0,1,feminino,sobrevivente,0,Prioritário
521,22.0,3,masculino,morto,0,Não Prioritário
522,0.0,3,masculino,morto,0,Não Prioritário
523,44.0,1,feminino,sobrevivente,1,Prioritário
524,0.0,3,masculino,morto,0,Não Prioritário
525,40.5,3,masculino,morto,0,Não Prioritário
526,50.0,2,feminino,sobrevivente,0,Prioritário
527,0.0,1,masculino,morto,0,Não Prioritário
528,39.0,3,masculino,morto,0,Não Prioritário
529,23.0,2,masculino,morto,3,Não Prioritário
530,2.0,2,feminino,sobrevivente,2,Prioritário
531,0.0,3,masculino,morto,0,Não Prioritário
532,17.0,3,masculino,morto,2,Não Prioritário
533,0.0,3,feminino,sobrevivente,2,Prioritário
534,30.0,3,feminino,morto,0,Prioritário
535,7.0,2,feminino,sobrevivente,2,Prioritário
536,45.0,1,masculino,morto,0,Não Prioritário
537,30.0,1,feminino,sobrevivente,0,Prioritário
538,0.0,3,masculino,morto,0,Não Prioritário
539,22.0,1,feminino,sobrevivente,2,Prioritário
540,36.0,1,feminino,sobrevivente,2,Prioritário
541,9.0,3,feminino,morto,6,Prioritário
